PassengerId,CryoSleep,Cabin,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,GroupId,PassengerIdInGroup,MembersOfGroupById,Surname,MembersOfFamilyBySurname,CabinDeck,CabinNum,AgeBinned,HomePlanet_1,HomePlanet_2,HomePlanet_3,CabinSide_1,CabinSide_2,Destination_1,Destination_2,Destination_3
0020_05,True,E/0/S,1.0,False,223.0,0.0,0.0,0.0,0.0,Mael Brantuarez,0,20,5,6.0,Brantuarez,7.0,E,0,0,False,False,False,True,False,True,False,False
0020_06,False,E/0/S,7.0,False,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,0,20,6,6.0,Mcfaddennon,6.0,E,0,0,False,False,False,True,False,False,True,False
0022_01,False,D/0/P,21.0,False,980.0,2.0,69.0,0.0,0.0,Unknown,0,22,1,1.0,Unknown,,D,0,4,False,True,False,False,False,False,True,False
0024_01,True,C/2/S,62.0,False,0.0,0.0,171.0,0.0,0.0,Penton Fullided,1,24,1,1.0,Fullided,1.0,C,2,1,True,False,False,True,False,False,True,False
0025_01,False,F/6/S,15.0,False,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,0,25,1,1.0,Brookenson,3.0,F,6,3,False,False,False,True,False,False,True,False
0026_01,False,C/0/P,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,0,26,1,1.0,Unconary,2.0,C,0,2,True,False,False,False,False,False,False,False
0028_01,False,F/8/P,43.0,False,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,0,28,1,1.0,Mare,5.0,F,8,2,False,True,False,False,False,False,True,False
0030_01,False,G/4/S,32.0,False,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,0,30,1,1.0,Morsentley,4.0,G,4,2,False,False,False,True,False,False,True,False
0031_01,False,F/9/P,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,1,31,1,3.0,Datie,4.0,F,9,2,False,True,False,False,False,False,True,False
0031_02,False,F/9/P,2.0,False,0.0,0.0,0.0,0.0,0.0,Cinets Datie,1,31,2,3.0,Datie,4.0,F,9,0,False,True,False,False,False,False,True,False
0031_03,False,F/9/P,20.0,False,223.0,0.0,1750.0,990.0,0.0,Dontch Datie,1,31,3,3.0,Datie,4.0,F,9,4,False,True,False,False,False,False,True,False
0034_01,True,D/1/S,28.0,False,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,1,34,1,1.0,Oingwhedly,1.0,D,1,4,True,False,False,True,False,False,False,False
0035_01,False,D/1/P,23.0,False,784.0,964.0,0.0,951.0,0.0,Luse Butte,0,35,1,1.0,Butte,5.0,D,1,4,False,True,False,False,False,False,False,False
0036_01,False,F/8/S,15.0,Unknown,0.0,492.0,48.0,20.0,401.0,Marina Leodger,0,36,1,1.0,Leodger,5.0,F,8,3,False,False,False,True,False,False,False,False
0038_01,False,F/10/S,20.0,False,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,0,38,1,1.0,Wheelez,7.0,F,10,4,False,False,False,True,False,False,False,False
0039_01,True,G/1/P,30.0,False,0.0,0.0,171.0,0.0,0.0,Jorgie Batthewitt,0,39,1,1.0,Batthewitt,1.0,G,1,4,False,False,False,False,False,False,False,False
0041_01,True,G/2/P,17.0,False,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,1,41,1,1.0,Moodsey,10.0,G,2,3,False,False,False,False,False,False,True,False
0043_01,False,B/3/P,45.0,False,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,0,43,1,1.0,Cylistrand,2.0,B,3,2,True,False,False,False,False,False,True,False
0044_01,True,G/3/P,55.0,False,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,0,44,1,3.0,Coopelandez,6.0,G,3,2,False,False,False,False,False,False,True,False
0044_02,True,G/3/P,4.0,False,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,1,44,2,3.0,Coopelandez,6.0,G,3,0,False,False,False,False,False,False,False,False
0044_03,True,G/3/P,21.0,False,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,1,44,3,3.0,Coopelandez,6.0,G,3,4,False,False,False,False,False,True,False,False
0045_01,False,F/10/P,21.0,False,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,0,45,1,2.0,Chmad,4.0,F,10,4,False,True,False,False,False,False,True,False
0045_02,True,F/10/P,19.0,False,0.0,0.0,0.0,0.0,0.0,Mass Chmad,1,45,2,2.0,Chmad,4.0,F,10,4,False,True,False,False,False,False,False,True
0050_01,False,E/1/S,35.0,False,790.0,0.0,0.0,311.0,0.0,Sony Lancis,0,50,1,1.0,Lancis,2.0,E,1,2,False,False,False,True,False,False,False,False
0051_01,False,E/2/S,56.0,False,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,0,51,1,1.0,Johnshines,6.0,E,2,2,False,False,False,True,False,False,True,False
0052_01,False,G/6/S,29.0,False,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,0,52,1,1.0,Hubbarton,8.0,G,6,1,False,False,False,True,False,False,True,False
0053_01,False,F/11/S,25.0,False,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,1,53,1,1.0,Hickerson,4.0,F,11,4,False,False,False,True,False,False,True,False
0056_01,False,A/1/S,2.0,False,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,1,56,1,3.0,Tractive,6.0,A,1,0,True,False,False,True,False,False,True,False
0056_02,True,A/1/S,38.0,False,0.0,0.0,0.0,0.0,0.0,Instab Tractive,1,56,2,3.0,Tractive,6.0,A,1,2,True,False,False,True,False,False,True,False
0056_03,False,A/1/S,27.0,False,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,1,56,3,3.0,Tractive,6.0,A,1,4,True,False,False,True,False,False,True,False
0058_01,True,G/7/S,36.0,False,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,0,58,1,1.0,Ayalazquez,3.0,G,7,2,False,False,False,True,False,True,False,False
0061_01,False,F/12/S,22.0,False,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,0,61,1,1.0,Salez,4.0,F,12,4,False,False,False,True,False,False,True,False
0062_01,False,F/13/S,62.0,False,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,0,62,1,1.0,Greeves,6.0,F,13,1,False,False,False,True,False,False,True,False
0064_01,True,F/14/S,15.0,False,0.0,0.0,0.0,0.0,0.0,Unknown,1,64,1,2.0,Unknown,,F,14,3,False,True,False,True,False,False,True,False
0064_02,True,E/3/S,33.0,False,0.0,0.0,171.0,0.0,0.0,Colatz Keen,1,64,2,2.0,Keen,1.0,E,3,2,False,False,True,True,False,False,True,False
0066_01,False,G/6/P,62.0,False,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,0,66,1,1.0,Pecketton,3.0,G,6,1,False,False,False,False,False,False,True,False
0067_01,True,G/10/S,0.0,False,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,1,67,1,3.0,Leeves,6.0,G,10,0,False,False,False,True,False,True,False,False
0067_02,False,G/10/S,18.0,False,1.0,258.0,446.0,0.0,0.0,Celine Leeves,1,67,2,3.0,Leeves,6.0,G,10,3,False,False,False,True,False,False,True,False
0067_03,False,F/15/S,21.0,False,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,0,67,3,3.0,Leeves,6.0,F,15,4,False,False,False,True,False,False,False,False
0068_01,False,E/4/S,29.0,False,793.0,0.0,2.0,253.0,0.0,Cinst Binie,0,68,1,1.0,Binie,3.0,E,4,1,False,True,False,True,False,False,True,False
0069_01,False,F/16/S,42.0,False,887.0,0.0,9.0,6.0,0.0,Unknown,1,69,1,1.0,Unknown,,F,16,2,False,False,False,True,False,False,True,False
0070_01,False,F/13/P,19.0,False,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,0,70,1,1.0,Brighttt,6.0,F,13,4,False,False,False,False,False,False,True,False
0071_01,False,F/14/P,17.0,False,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,0,71,1,1.0,Dillines,3.0,F,14,3,False,False,False,False,False,False,True,False
0072_01,False,F/17/S,14.0,False,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,0,72,1,1.0,Brantuarez,7.0,F,17,3,False,False,False,True,False,False,True,False
0073_01,False,D/3/P,37.0,False,46.0,83.0,738.0,0.0,12.0,Gorn Make,0,73,1,1.0,Make,8.0,D,3,2,False,True,False,False,False,True,False,False
0074_01,False,C/3/S,42.0,False,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,1,74,1,1.0,Mostedry,4.0,C,3,2,True,False,False,True,False,False,True,False
0076_01,False,F/18/S,27.0,False,147.0,0.0,1018.0,0.0,0.0,Conk Dal,1,76,1,1.0,Dal,10.0,F,18,4,False,True,False,True,False,False,True,False
0077_01,False,F/15/P,28.0,False,14.0,0.0,1295.0,0.0,0.0,Pon Blité,1,77,1,1.0,Blité,1.0,F,15,4,False,True,False,False,False,False,True,False
0078_01,False,C/4/S,38.0,False,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,0,78,1,1.0,Pokerheed,2.0,C,4,2,True,False,False,True,False,False,True,False
0081_01,True,G/13/S,13.0,False,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,0,81,1,1.0,Vinozarks,9.0,G,13,3,False,False,False,True,False,False,True,False
0082_01,False,F/16/P,42.0,False,7406.0,0.0,0.0,0.0,0.0,Totse Datte,0,82,1,3.0,Datte,4.0,F,16,2,False,True,False,False,False,False,True,False
0082_02,True,F/16/P,2.0,False,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,1,82,2,3.0,Datte,4.0,F,16,0,False,True,False,False,False,False,True,False
0082_03,False,F/16/P,8.0,False,0.0,0.0,0.0,0.0,0.0,Unknown,1,82,3,3.0,Unknown,,F,16,0,False,True,False,False,False,False,True,False
0084_01,False,G/14/S,24.0,False,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,1,84,1,1.0,Coopezmaney,5.0,G,14,4,False,False,False,True,False,False,True,False
0085_01,True,C/5/S,40.0,False,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,1,85,1,1.0,Ellcefulve,2.0,C,5,2,True,False,False,True,False,False,True,False
0086_01,False,F/17/P,43.0,False,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,0,86,1,1.0,Kinson,5.0,F,17,2,False,False,False,False,False,False,True,False
0088_01,True,E/5/S,45.0,False,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,1,88,1,1.0,Sacre,3.0,E,5,2,False,True,False,True,False,True,False,False
0090_01,True,G/15/S,35.0,False,0.0,0.0,0.0,0.0,0.0,Heremy Santry,1,90,1,1.0,Santry,10.0,G,15,2,False,False,False,True,False,False,True,False
0091_01,True,G/16/S,26.0,False,223.0,0.0,0.0,0.0,0.0,Deanne Yorkland,1,91,1,2.0,Yorkland,11.0,G,16,4,False,False,False,True,False,False,True,False
0091_02,False,F/20/S,27.0,False,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,0,91,2,2.0,Yorkland,11.0,F,20,4,False,False,False,True,False,False,True,False
0092_01,False,G/9/P,19.0,False,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,0,92,1,3.0,Dunnisey,4.0,G,9,4,False,False,False,False,False,False,True,False
0092_02,True,G/9/P,0.0,False,0.0,0.0,171.0,0.0,0.0,Stald Hewson,1,92,2,3.0,Hewson,7.0,G,9,0,False,False,False,False,False,False,True,False
0092_03,True,G/9/P,3.0,False,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,1,92,3,3.0,Hewson,7.0,G,9,0,False,False,False,False,False,False,True,False
0097_01,False,A/2/S,54.0,False,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,0,97,1,1.0,Fictful,4.0,A,2,2,True,False,False,True,False,False,True,False
0098_01,False,G/11/P,26.0,False,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,0,98,1,2.0,Carezquez,5.0,G,11,4,False,False,False,False,False,False,True,False
0098_02,False,G/11/P,26.0,False,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,1,98,2,2.0,Carezquez,5.0,G,11,4,False,False,False,False,False,False,True,False
0099_01,False,F/19/P,23.0,False,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,0,99,1,2.0,Leetersoney,3.0,F,19,4,False,False,False,False,False,True,False,False
0099_02,Unknown,G/12/P,2.0,False,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,1,99,2,2.0,Connelson,4.0,G,12,0,False,False,False,False,False,False,True,False
0101_01,True,,31.0,False,0.0,0.0,0.0,0.0,0.0,Book Trad,1,101,1,1.0,Trad,3.0,Unknown,Unknown,2,False,True,False,False,True,False,True,False
0102_01,False,F/23/S,18.0,False,0.0,0.0,0.0,830.0,91.0,Ritany Holson,0,102,1,1.0,Holson,4.0,F,23,3,False,False,False,True,False,False,True,False
0103_01,False,F/24/S,24.0,False,0.0,420.0,0.0,0.0,17.0,Arlen Mclainez,1,103,1,3.0,Mclainez,6.0,F,24,4,False,False,False,True,False,False,True,False
0103_02,True,G/18/S,9.0,False,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,1,103,2,3.0,Mclainez,6.0,G,18,0,False,False,False,True,False,False,False,False
0103_03,True,G/18/S,6.0,False,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,0,103,3,3.0,Mclainez,6.0,G,18,0,False,False,False,True,False,False,True,False
0105_01,Unknown,F/21/P,27.0,False,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,0,105,1,1.0,Cleachrand,7.0,F,21,4,False,False,False,False,False,False,True,False
0107_01,False,D/2/S,21.0,False,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,0,107,1,1.0,Hart,3.0,D,2,4,False,True,False,True,False,False,True,False
0108_01,True,G/19/S,23.0,False,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,0,108,1,3.0,Handertiz,8.0,G,19,4,False,False,False,True,False,False,True,False
0108_02,False,G/19/S,31.0,False,562.0,0.0,326.0,0.0,0.0,Unknown,0,108,2,3.0,Unknown,,G,19,2,False,False,False,True,False,False,True,False
0108_03,False,G/19/S,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,1,108,3,3.0,Handertiz,8.0,G,19,0,False,False,False,True,False,False,True,False
0110_01,False,,32.0,False,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,0,110,1,4.0,Aloubtled,5.0,Unknown,Unknown,2,True,False,False,False,True,False,True,False
0110_02,Unknown,B/5/P,40.0,False,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,0,110,2,4.0,Bootious,2.0,B,5,2,True,False,False,False,False,False,True,False
0110_03,False,B/5/P,42.0,False,2209.0,8515.0,0.0,1868.0,445.0,Alaratz Aloubtled,1,110,3,4.0,Aloubtled,5.0,B,5,2,True,False,False,False,False,False,True,False
0110_04,True,B/5/P,28.0,False,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,1,110,4,4.0,Aloubtled,5.0,B,5,4,True,False,False,False,False,False,True,False
0111_01,True,E/6/S,29.0,False,0.0,0.0,0.0,0.0,0.0,Aldera Supred,1,111,1,1.0,Supred,5.0,E,6,4,True,False,False,True,False,False,True,False
0112_01,False,B/1/S,48.0,True,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,1,112,1,1.0,Cowtale,2.0,B,1,2,True,False,False,True,False,False,False,False
0113_01,False,F/23/P,64.0,False,0.0,0.0,804.0,0.0,0.0,Idary Carvis,1,113,1,1.0,Carvis,5.0,F,23,1,False,False,False,False,False,False,True,False
0114_01,False,G/20/S,27.0,False,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,0,114,1,1.0,Beckerson,5.0,G,20,4,False,False,False,True,False,False,True,False
0115_01,Unknown,F/24/P,26.0,False,0.0,0.0,0.0,0.0,305.0,Rohs Pead,1,115,1,1.0,Pead,5.0,F,24,4,False,True,False,False,False,False,True,False
0116_01,False,D/4/P,33.0,False,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,1,116,1,1.0,Suptive,2.0,D,4,2,True,False,False,False,False,False,True,False
0119_01,False,A/0/P,39.0,False,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,0,119,1,2.0,Coning,5.0,A,0,2,False,False,True,False,False,False,True,False
0119_02,True,A/0/P,13.0,False,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,1,119,2,2.0,Coning,5.0,A,0,3,True,False,False,False,False,False,True,False
0120_01,True,F/25/P,24.0,False,0.0,0.0,0.0,0.0,305.0,Bees Sacre,1,120,1,1.0,Sacre,3.0,F,25,4,False,True,False,False,False,False,True,False
0122_01,False,G/21/S,29.0,False,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,0,122,1,1.0,Hayder,6.0,G,21,4,False,False,False,True,False,False,True,False
0123_01,False,F/27/P,18.0,False,55.0,597.0,49.0,0.0,1.0,Iree Fielson,0,123,1,1.0,Fielson,6.0,F,27,3,False,False,False,False,False,False,True,False
0126_01,True,F/27/S,67.0,False,0.0,0.0,0.0,0.0,0.0,Milly Mish,1,126,1,1.0,Mish,3.0,F,27,1,False,True,False,True,False,False,True,False
0127_01,False,E/7/S,35.0,False,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,0,127,1,1.0,Mesty,3.0,E,7,2,False,True,False,True,False,False,True,False
0128_01,False,D/3/S,61.0,True,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,0,128,1,2.0,Fles,2.0,D,3,1,False,True,False,True,False,False,True,False
0128_02,False,E/8/S,45.0,False,2103.0,6.0,0.0,0.0,0.0,Barave Fles,0,128,2,2.0,Fles,2.0,E,8,2,False,True,False,True,False,False,True,False
0129_01,True,G/22/S,22.0,False,0.0,0.0,171.0,0.0,0.0,Race Fowles,1,129,1,1.0,Fowles,5.0,G,22,4,False,False,False,True,False,True,False,False
0133_01,True,F/29/S,19.0,False,0.0,0.0,0.0,0.0,0.0,Flynx Blie,1,133,1,2.0,Blie,3.0,F,29,4,False,True,False,True,False,False,True,False
0133_02,False,D/5/S,36.0,False,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,0,133,2,2.0,Blie,3.0,D,5,2,False,True,False,True,False,False,True,False
0134_01,False,G/17/P,19.0,False,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,1,134,1,1.0,Harmontry,4.0,G,17,4,False,False,False,False,False,False,True,False
0136_01,False,G/23/S,47.0,False,97.0,418.0,126.0,25.0,55.0,Unknown,0,136,1,1.0,Unknown,,G,23,2,False,False,False,True,False,True,False,False
0138_01,True,G/18/P,13.0,False,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,1,138,1,2.0,Gambs,4.0,G,18,3,False,False,False,False,False,False,True,False
0138_02,False,E/5/P,34.0,False,0.0,22.0,0.0,564.0,207.0,Monah Gambs,0,138,2,2.0,Gambs,4.0,E,5,2,False,False,False,False,False,False,False,True
0139_01,True,C/6/S,35.0,False,0.0,0.0,0.0,0.0,0.0,Charda Myling,1,139,1,1.0,Myling,9.0,C,6,2,True,False,False,True,False,False,False,False
0140_01,True,G/19/P,24.0,False,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,1,140,1,2.0,Mejiaddox,6.0,G,19,4,False,False,False,False,False,False,True,False
0140_02,False,F/29/P,26.0,False,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,0,140,2,2.0,Whitakers,4.0,F,29,4,False,False,False,False,False,False,True,False
0141_01,False,F/30/P,31.0,False,223.0,0.0,97.0,0.0,0.0,Pyrohs Harte,0,141,1,1.0,Harte,2.0,F,30,2,False,True,False,False,False,False,True,False
0144_01,False,F/31/S,20.0,False,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,1,144,1,1.0,Dayers,5.0,F,31,4,False,False,False,True,False,False,True,False
0146_01,False,G/25/S,56.0,False,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,0,146,1,1.0,Wolferguson,8.0,G,25,2,False,False,False,True,False,False,True,False
0147_01,True,G/26/S,50.0,False,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,1,147,1,1.0,Hubbarrison,9.0,G,26,2,False,False,False,True,False,False,True,False
0148_01,False,F/31/P,42.0,False,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,0,148,1,1.0,Pashe,1.0,F,31,2,False,True,False,False,False,False,True,False
0149_01,True,G/27/S,29.0,False,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,1,149,1,1.0,Hubbarrison,9.0,G,27,1,False,False,False,True,False,False,False,False
0151_01,True,G/20/P,38.0,False,0.0,0.0,0.0,0.0,0.0,Shanie Simson,0,151,1,1.0,Simson,6.0,G,20,2,False,False,False,False,False,False,False,False
0152_01,False,F/32/P,41.0,False,0.0,0.0,0.0,0.0,607.0,Andan Estron,0,152,1,1.0,Estron,5.0,F,32,2,False,False,False,False,False,False,False,True
0160_01,False,G/22/P,22.0,False,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,0,160,1,1.0,Atkinney,1.0,G,22,4,False,False,False,False,False,False,True,False
0163_01,True,B/8/P,26.0,False,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,1,163,1,2.0,Hetforhaft,6.0,B,8,4,True,False,False,False,False,False,True,False
0163_02,True,B/8/P,17.0,False,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,1,163,2,2.0,Hetforhaft,6.0,B,8,3,True,False,False,False,False,False,True,False
0164_01,False,G/28/S,57.0,False,50.0,1688.0,0.0,311.0,135.0,Fany Hutchinton,1,164,1,2.0,Hutchinton,4.0,G,28,2,False,False,False,True,False,False,True,False
0164_02,True,G/28/S,17.0,False,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,0,164,2,2.0,Hutchinton,4.0,G,28,3,False,False,False,True,False,True,False,False
0165_01,True,F/37/P,35.0,Unknown,0.0,0.0,0.0,0.0,0.0,Graven Anche,1,165,1,1.0,Anche,2.0,F,37,2,False,True,False,False,False,False,True,False
0167_01,True,F/35/S,13.0,False,0.0,0.0,0.0,0.0,0.0,Miten Floaf,1,167,1,2.0,Floaf,4.0,F,35,3,False,True,False,True,False,False,True,False
0167_02,False,F/35/S,27.0,False,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,0,167,2,2.0,Floaf,4.0,F,35,4,False,True,False,True,False,False,True,False
0169_01,True,G/23/P,31.0,False,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,0,169,1,1.0,Fisherry,2.0,G,23,2,False,False,False,False,False,False,True,False
0170_01,False,E/10/S,24.0,False,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,0,170,1,1.0,Mcmahoney,4.0,E,10,4,False,False,False,True,False,False,True,False
0171_01,True,G/30/S,19.0,False,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,1,171,1,1.0,Gordanieves,7.0,G,30,4,False,False,False,True,False,True,False,False
